beer,brewery,style,status
Collective Arts Surround Sound: Simcoe & Amarillo,Collective Arts Brewing,IIPA DIPA - Imperial / Double IPA,series seasonal
Labatt Ice Beer,Labatt Brewing Company (Labatt - AB InBev),Pale Lager - American,regular
Collective Arts Sour Dry Hop Ale Raspberry,Collective Arts Brewing,Sour / Wild Beer - Flavored,autumn seasonal
Nickel Brook Half Bastard,Nickel Brook Brewing Co.,Stout,regular
Indie Alehouse Breakfast Porter,Indie Alehouse Brewing Co.,Porter - Flavored,regular
Collective Arts IPA No.  5,Collective Arts Brewing,IIPA DIPA - Imperial / Double IPA,regular
Amsterdam Autumn Hop Harvest Ale,Amsterdam Brewery,Pale Ale - American (APA),autumn seasonal
Great Lakes Brewery Audrey Hopburn,Great Lakes Brewery (Canada),IPA - Belgian / Saison,special seasonal
Bellwoods Cat Lady Double Dry Hopped,Bellwoods Brewery,IPA - Hazy (NEIPA),series seasonal
Third Moon Bone Tree,Third Moon Brewing Co.,IPA - Hazy (NEIPA),regular
Great Lakes Brewery Miami Weiss White Pale Ale,Great Lakes Brewery (Canada),Wheat Ale - India / Hopfenweisse,summer seasonal
High Road Bronan,High Road Brewing Co.,IPA,regular
Flying Monkeys Shoulders of Giants,Flying Monkeys Craft Brewery,IIPA DIPA - Imperial / Double IPA,regular
Mill Street Ambre de la Chaudiere,Mill Street Brewery (AB InBev),Bière de Garde / de Mars / Brut,regular
Mill Street West Coast IPA,Mill Street Brewery (AB InBev),IPA,regular
Cameron's Where The Buffalo Roam,Cameron's Brewing,Barley Wine / Wheat Wine / Rye Wine,regular
Beau's New Lang Syne,Beau's Brewing Co. / Halcyon Barrel House,Tripel,regular
Collective Arts / Mikerphone Origin of Darkness,Collective Arts Brewing,Stout - Imperial Flavored / Pastry,regular
Amsterdam Framboise,Amsterdam Brewery,Flavored - Fruit,regular
Amsterdam Blonde Lager,Amsterdam Brewery,Pale Lager - American,regular
Big Rig Alpha Bomb IPA,Big Rig Brewery,IPA,special seasonal
Grand River Highballer,Grand River Brewing (Magnotta),Flavored - Pumpkin / Vegetables,autumn seasonal
Small Pony Half Remembered Dream,Small Pony Barrel Works,Sour / Wild Beer,regular
Great Lakes Brewery Apocalypse Later,Great Lakes Brewery (Canada),IPA - Black / Brown / Cascadian Dark,winter seasonal
