beer,brewery,style,status
Dieu du Ciel! Vaisseau des Songes,Brasserie Dieu du Ciel!,IPA,regular
Dunham Berliner Mango Weisse,Brasserie Dunham,Berliner Weisse - Flavored / Catharina Sour,special seasonal
Dunham Triple XXX (2),Brasserie Dunham,Tripel,winter seasonal
Auval Arcane 17 IPA,Brasserie Auval Brewing Co.,IPA - Hazy (NEIPA),regular
RJ Cheval Blanc,Brasseurs RJ,Witbier / Belgian White Ale,regular
Benelux Sabotage,Benelux - Brasserie Artisanale / Brasserie du Canal,IPA,regular
Pit Caribou Brown Ale Américaine,Microbrasserie Pit Caribou,Brown Ale,regular
Griffon Extra Blonde / Extra Pale Ale,Brasserie McAuslan (Brasseurs RJ),Blonde Ale / Golden Ale,regular
Hopfenstark Baltic Porter de l'Ancrier,Hopfenstark [Ho.st],Porter - Baltic,special seasonal
Brasseur de Montréal L'AMer IPA,Brasseur de Montréal (Six Pints - Molson Coors),IPA,regular
Dieu du Ciel! Symbiose  7,Brasserie Dieu du Ciel!,Sour / Wild Beer - Flavored,regular
Dunham Saison Cassis,Brasserie Dunham,Saison / Farmhouse - Flavored,regular
Dieu du Ciel! Symbiose  8,Brasserie Dieu du Ciel!,Sour / Wild Beer - Flavored,special seasonal
Du Lac Saint-Jean Tante Tricotante,Microbrasserie Du Lac Saint-Jean,Tripel,regular
Le Naufrageur St-Barnabé,Microbrasserie Le Naufrageur,Stout - Dry / Irish,regular
Brasseurs du Monde L'Interdite 90 Minutes,Brasseurs du Monde,IPA,regular
Dieu du Ciel! Caserne 30,Brasserie Dieu du Ciel!,Smoked - Rauchbier,regular
Brouhaha Gaz de Course,Broue Pub Brouhaha (Coop MaBrasserie),Barley Wine / Wheat Wine / Rye Wine,regular
Dunham Berliner Framboises Noires,Brasserie Dunham,Berliner Weisse - Flavored / Catharina Sour,regular
Dunham Saison Rustique Drei,Brasserie Dunham,Saison / Farmhouse / Grisette,series seasonal
Le Castor Le Moine Féral,Microbrasserie Le Castor Brewing Co.,Tripel,spring seasonal
L'Amère à Boire Stout Impérial,Brasserie Artisanale L'Amère à Boire,Stout - Imperial,regular
